code,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,countries,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g
5901939020020,Serek smietankowy,,,"Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery",d,,,en:poland,,,,,,,
5901390116126,NaTurek camembert z grzybami,,,,unknown,,,en:poland,,,,,,,
4014500509532,Mozzarella light Zottarella,Zott,,"Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery, Sery włoskie, en:Stretched-curd cheeses, Mozzarella",b,3,,en:poland,,,,,,,
5906750296012,Ekologiczne jaja 100% bio,Ferma wysoka grzęda,Kaufland,"en:Farming products, Jaja",unknown,,,en:poland,,,,,,,
4014500043364,Monte Max,Zott,Stokrotka,"Nabiał, Żywność fermentowana, Desery, Fermentowane produkty mleczne, Desery mleczne, Fermentowane desery mleczne, en:Chocolate desserts, Jogurty, en:Dairy chocolate desserts",d,4,,en:poland,,,,,,,
5908219994941,Biały sezam,,,,unknown,,,en:poland,,,,,,,
5900197014178,,,,en:yogurts,unknown,,,en:Poland,,,,,,,
5900617035882,Protein 33,GO NUTRITION,,"Przekąski,Słodkie przekąski,Batoniki,Suplementy diety,en:Bodybuilding supplements,en:Protein bars,Baton",not-applicable,4,,Polska,,,,,,,
5901559949343,Porter,Żywiec,,"Napoje,Napoje alkoholowe,Piwa,Ales,en:Dark ales,Porters,en:Baltic porter",not-applicable,3,,Polska,,,,,,,
5900102021192,Czekolada,Wawel,,"Przekąski, Słodkie przekąski, Kakao i produkty na bazie kakao, Czekolada",unknown,,,en:Poland,,,,,,,
5900531011054,Serek homogenizowany waniliowy Piratki,Piratki,Lidl,"Nabiał, Żywność fermentowana, Desery, Fermentowane produkty mleczne, Sery, Desery mleczne, Fermentowane desery mleczne, en:Fresh cheeses, Serek homogenizowany",c,,,Polska,,,,,,,
4056489100430,"Schoko und keks , dark and white",Mister CHOC Lidl,,,unknown,,,en:Poland,,,,,,,
4056489179375,Zupa grochowa z boczkiem i tymiankiem,Chef Select Lidl,,"Meals, Soups",c,,,en:Poland,,,,,,,
5900340003622,Chleb żytni z musli,Oskroba,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb",c,,,en:poland,,,,,,,
5901882777774,Grzyby mun,,,,unknown,,,en:poland,,,,,,,
5907752665035,Smalec z mięsem i cebulą,Nasze Smaki,Biedronka,"Produkty na bazie mięsa, Posiłki, Posiłki z mięsem",e,4,,Polska,,,,,,,
5905784351742,pierogi z serem na słodko,Carrefour Classic,,Pierogi,b,4,,en:Poland,,,,,,,
5901939006024,koktajl białkowy,Piątnica,,"Napoje, Nabiał, Żywność fermentowana, Desery, Fermentowane produkty mleczne, Desery mleczne, Napoje mleczne, Fermentowane desery mleczne, Napoje fermentowane, en:Fermented milk drinks, Jogurty, Jogurty pitne",d,4,,Polska,,,,,,,
8717703638578,Glasnudeln,longkou,,"Biljne hrane i pića, Hranu biljnog podrijetla, Tjestenine, Rezanci, Celofanski rezanci",a,1,,"Belgija,Hrvatska,Njemačka,Nizozemska,Francuska,Danska,Poljska,Italija,Finska,Španjolska,Švedska,Češka",,,,,,,
5900649077997,Mokate Gold Latte Caramel,Mokate,,"Żywność i napoje na bazie roślin,Napoje,Żywność na bazie roślin,Kawa,en:Instant beverages,Kawa rozpuszczalna,en:Coffee sachets",unknown,4,,"Poland, Spain, en:united-kingdom",,,,,,,
7622201401900,Sensations cookies Oreo cream,"Milka,Mondelez",,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Filled drop cookies",e,4,,"Israel, Morocco, Poland, en:france",,,,,,,
